"floors","rooms","width","length","size","area_name","region_name","price","living_size","toilets","ward_name","direction","directionNumber","balconydirection","balconydirectionNumber"
"","1","","","50","Thành phố Thủ Đức","Tp Hồ Chí Minh","2600000000","0","1","Phường An Phú (Quận 2 cũ)","","0","","0"
"","2","","","63","Quận Tân Phú","Tp Hồ Chí Minh","3100000000","0","1","Phường Sơn Kỳ","","0","","0"
"","1","","","36","Quận 7","Tp Hồ Chí Minh","1600000000","0","1","Phường Tân Hưng","","0","","0"
"","2","","","72","Quận 8","Tp Hồ Chí Minh","2850000000","0","2","Phường 6","","6","","0"
"","2","","","64","Quận Bình Tân","Tp Hồ Chí Minh","1750000000","0","2","Phường Bình Hưng Hoà A","","0","","6"
"","2","","","57","Quận 7","Tp Hồ Chí Minh","2700000000","0","1","Phường Tân Hưng","","0","","0"
"","2","","","76","Quận Bình Thạnh","Tp Hồ Chí Minh","2170000000","0","2","Phường 22","","0","","0"
"","2","","","87","Quận 10","Tp Hồ Chí Minh","6600000000","0","2","Phường 12","","0","","0"
"","2","","","72","Thành phố Thủ Đức","Tp Hồ Chí Minh","1440000000","0","2","Phường Hiệp Bình Chánh (Quận Thủ Đức cũ)","","0","","0"
"","2","","","83","Quận 6","Tp Hồ Chí Minh","1730000000","0","2","Phường 3","","0","","0"
"","1","","","40.5","Huyện Bình Chánh","Tp Hồ Chí Minh","500000000","0","1","Xã Tân Nhựt","","1","","2"
"","1","","","48","Quận 4","Tp Hồ Chí Minh","1640000000","0","1","Phường 1","","0","","0"
"","2","","","68","Quận Phú Nhuận","Tp Hồ Chí Minh","1690000000","0","2","Phường 9","","0","","0"
"","2","","","65","Thành phố Thủ Đức","Tp Hồ Chí Minh","2270000000","0","2","Phường An Phú (Quận 2 cũ)","","0","","0"
"","2","","","53","Quận Gò Vấp","Tp Hồ Chí Minh","1430000000","0","2","Phường 15","","0","","0"
"","2","","","60","Thành phố Thủ Đức","Tp Hồ Chí Minh","1620000000","0","2","Phường Cát Lái (Quận 2 cũ)","","0","","0"
"","2","","","76","Quận 10","Tp Hồ Chí Minh","2000000000","0","2","Phường 12","","0","","0"
"","2","","","56","Thành phố Thủ Đức","Tp Hồ Chí Minh","1700000000","0","1","Phường Cát Lái (Quận 2 cũ)","","0","","0"
"","1","","","33","Thành phố Phú Quốc","Kiên Giang","1790000000","0","1","Thị trấn An Thới","","3","Hướng Nam","3"
"","1","","","51","Thành phố Thủ Đức","Tp Hồ Chí Minh","2450000000","0","1","Phường An Phú (Quận 2 cũ)","","0","","0"
